views,likes,comments,shares,bookmarks,watchedFullVideo,newFollowers,length,category,subject,hasCover,hasDescription,reply
5110,968,67,39,98,19.05,1,55.77,opinion,career,1,1,0
337,29,3,1,1,0,1,56.17,opinion,career,0,1,1
1570,43,5,1,10,7.5,1,52.38,info,career,0,1,1
233,12,3,0,1,0,1,46.83,info,career,0,1,1
296,49,13,0,0,20.24,1,56.53,info,career,1,1,0
88,10,3,2,1,0,1,24.61,opinion,data analytics,0,1,1
202,14,2,0,0,0,1,46,opinion,cyber security,0,1,1
281,26,6,0,4,0,1,56.77,opinion,career,1,1,0
215,15,5,1,1,0,1,49.71,info,career,1,1,0
436,56,5,3,8,0,1,56.63,opinion,career,1,1,0
254,23,4,0,0,0,1,55.24,opinion,career,1,1,0
250,12,2,2,0,0,1,42.77,info,data analytics,1,1,0
427,46,9,2,9,7.25,1,56.38,info,software,1,1,0
126,7,4,0,0,0,1,3.19,humor,career,0,1,0
65,3,2,1,0,0,1,53.64,tutorial,software,1,1,0
3975,388,17,19,64,0,1,53.45,info,career,1,1,0
256,13,3,0,2,0,1,12,info,career,0,1,1
275,13,5,0,0,0,1,13,info,career,0,1,1
248,9,3,0,1,0,1,13,info,software,0,1,1
109,2,1,0,0,0,1,4,opinion,devops,0,1,0
308,6,3,0,0,0,1,11.45,info,career,0,1,1
282,7,1,0,0,0,1,5,opinion,software,0,1,0
357,20,1,0,0,0,1,10.38,opinion,career,0,1,0
237,6,1,0,0,0,1,7.75,humor,cyber security,0,1,0
284,12,2,0,1,0,1,14,info,career,0,1,1
243,15,3,0,0,0,1,48,info,software,0,1,1
553,21,10,0,0,27.97,1,8.17,humor,devops,1,1,0
458,29,4,1,1,0,1,51,opinion,career,1,1,0
2263,69,8,0,3,0,1,5.18,info,data analytics,1,1,0
254,10,1,0,1,0,1,30.46,info,career,0,1,1
428,37,10,0,1,9.07,1,56.98,info,career,1,1,1
295,17,3,0,0,3.72,1,57,info,software,0,1,1
405,38,5,2,0,0,1,10.47,humor,software,1,1,0
2312,111,16,6,2,0,1,5.64,humor,software,1,1,0
352,23,1,0,1,3.81,1,29.91,info,career,0,1,1
275,9,1,0,0,0,1,12.44,info,software,0,1,1
279,12,3,0,0,0,1,27.21,info,career,0,1,1
331,18,4,0,1,0,1,31.07,info,data analytics,0,1,1
296,15,2,0,0,0,1,22.92,info,career,0,1,1
427,23,3,0,1,0,1,9.56,humor,devops,1,1,0
258,13,3,0,0,0,1,6,humor,software,1,1,0
10700,322,5,2,14,49.35,1,10.63,humor,data analytics,1,1,0
2473,84,8,1,6,0,1,5.9,humor,data analytics,1,1,1
546,28,3,0,1,30.78,1,8.91,humor,software,1,1,1
328,10,3,0,0,0,1,29.74,info,career,0,1,0
411,34,4,1,1,10.68,1,58.3,info,career,0,1,1
304,12,1,1,1,0,1,4.9,humor,software,1,1,0
708,39,7,1,3,32.94,1,13.19,humor,software,1,1,0
1965,46,1,0,1,28.8,1,10.59,humor,data analytics,1,1,0
412,15,3,0,0,35.16,1,5.9,humor,software,0,1,0
335,13,3,0,0,0,1,12.98,humor,software,1,1,0
526,34,2,0,0,48.77,1,6.5,humor,software,1,1,0
11800,391,26,6,19,51.06,1,8.98,humor,software,1,1,0
336,14,1,0,0,0,1,7.41,humor,software,1,1,0
1042,33,1,0,2,0,1,20.34,info,software,0,1,1
6249,253,15,10,4,49.96,1,7.13,humor,software,1,1,0
1273,20,2,0,0,0,1,7.38,humor,software,1,1,0
307,6,0,0,0,0,1,7,humor,software,1,1,0
1388,41,1,0,1,0,1,7.38,humor,software,1,1,0
725,13,2,0,0,1.36,1,69.45,info,data analytics,0,1,1
338,37,2,0,2,0,1,60,info,data analytics,1,1,0
410,14,1,1,0,36.9,1,6.96,humor,cyber security,1,1,0
821,17,1,0,0,35.37,1,5.5,humor,software,1,1,0
1660,103,5,0,3,51.07,1,6.27,humor,career,1,1,0
310,9,0,0,0,17.78,1,8.71,humor,cyber security,1,1,0
829,31,1,0,0,37.28,1,5.41,humor,software,0,1,0
300,10,1,0,0,15,1,9.61,humor,software,0,1,0
283,5,0,0,0,17,1,5.13,humor,software,0,1,0
282,11,0,0,0,38.28,1,5,humor,software,0,1,0
337,16,0,0,1,31.61,1,6,humor,career,0,1,0
339,11,2,0,0,27,1,5,humor,data analytics,0,1,0
337,3,0,0,1,21,1,8,humor,data analytics,0,1,0
294,3,1,0,0,18,1,7,humor,cyber security,0,1,0
317,13,0,0,0,36,1,6,humor,software,0,1,0
360,13,1,0,0,15,1,9,humor,software,0,1,0
1116,32,4,0,1,47.99,1,5,humor,software,0,1,0
1187,23,0,0,0,37.81,1,6.31,humor,software,0,1,0
330,7,0,0,0,23.62,1,7.33,humor,software,0,1,0
92,1,0,0,0,17,1,7,humor,software,0,0,0
373,13,3,0,0,37.63,1,6,humor,software,0,0,0
769,20,1,0,1,23.11,1,13,info,software,0,0,0
249,14,2,0,0,3.69,1,43.81,info,software,1,0,0
369,10,1,1,0,42.11,1,5,humor,software,0,0,0
5200,89,0,0,0,63.06,1,7.26,humor,cyber security,0,0,0
374,10,0,0,0,17.99,1,9.24,humor,software,1,0,0
1234,21,0,1,0,51.04,1,5.2,humor,software,0,0,0
1996,42,2,0,0,48.96,1,5,humor,software,0,0,0
510,10,0,0,0,38.1,1,5,humor,cyber security,0,0,0
270,6,1,0,2,5.99,1,15,info,software,0,0,0
461,14,1,0,0,31.6,1,5.85,humor,cyber security,0,0,0
371,16,5,0,0,15.99,1,8,humor,software,0,0,0
331,10,0,0,0,43.71,1,5,humor,software,0,0,0
294,6,1,0,0,30.1,1,6,humor,software,0,0,0
168,5,0,0,0,38.37,1,6.5,humor,software,0,0,0
33600,2426,138,25,83,50.15,1,6.8,humor,software,1,0,0
341,12,1,0,0,30.09,1,6.94,humor,career,0,1,0
261,4,1,0,1,10,1,7.31,humor,software,0,1,0
