views,likes,comments,shares,bookmarks,watchedFullVideo,newFollowers,length,category,subject,hasCover,hasDescription,reply
1388,41,1,0,1,18,3,7.38,humor,software,1,1,0
1511,12,2,0,0,61.12,3,9.7,humor,career,0,1,0
1586,79,0,1,0,49.54,3,6.38,humor,news,0,1,0
1660,103,5,0,3,51.07,3,6.27,humor,career,1,1,0
1816,114,4,12,31,3.87,10,57.07,info,devops,1,1,0
1965,46,1,0,1,28.8,12,10.59,humor,data analytics,1,1,0
1996,42,2,0,0,48.96,2,5,humor,software,0,0,0
2220,243,8,10,32,19.33,25,57.63,info,software,1,1,0
2263,69,8,0,3,18,10,5.18,info,data analytics,1,1,0
2312,111,16,6,2,18,10,5.64,humor,software,1,1,0
2473,84,8,1,6,18,20,5.9,humor,data analytics,1,1,1
5200,89,0,0,0,63.06,20,7.26,humor,cyber security,0,0,0
6249,253,15,10,4,49.96,20,7.13,humor,software,1,1,0
